CustomerKey;First Name;Middle Name;Last Name;Full Name;Gender;AddressLine1;AddressLine2;Phone;DateFirstPurchase;Customer City
12013;Kayla;;Lewis;Kayla Lewis;Female;7421 Lavetta Way;;1 (11) 500 555-0130;2020-12-09;Sunbury
12014;Devin;J;Sanders;Devin J Sanders;Male;340 Danesta Dr.;;1 (11) 500 555-0152;2020-12-08;Bendigo
12015;Jacob;K;White;Jacob K White;Male;3074 Ardith Drive;;983-555-0167;2022-04-22;Lincoln Acres
12016;Meredith;;Serrano;Meredith Serrano;Female;7440 Dorset Way;;335-555-0184;2020-11-14;Colma
12017;David;E;Simmons;David E Simmons;Male;8442 Euclid Avenue;;712-555-0167;2022-03-20;Port Hammond
12018;Devin;K;Henderson;Devin K Henderson;Male;685 St. Peter Court;;382-555-0138;2020-10-29;San Diego
12019;Gabrielle;;Cox;Gabrielle Cox;Female;1585 Pacific Avenue;;694-555-0126;2022-09-25;Torrance
12020;Olivia;;Rogers;Olivia Rogers;Female;7076 Terry Lynn Lane;;460-555-0156;2022-10-12;Port Hammond
12021;Deborah;;Yuan;Deborah Yuan;Female;6641 Morgan Territory Rd.;;1 (11) 500 555-0172;2020-12-03;Springwood
12022;Jose;;Wright;Jose Wright;Male;8011 Mcnutt Ave;;571-555-0110;2022-08-16;Woodburn
12023;Fernando;I;Johnson;Fernando I Johnson;Male;5931 San Carlos;;247-555-0143;2020-10-30;Colma
12024;Samuel;;Edwards;Samuel Edwards;Male;710 Longbrook Way;;695-555-0151;2022-02-23;Port Orchard
12025;Logan;A;Diaz;Logan A Diaz;Male;297 Mt. Tank Circle;;965-555-0113;2020-11-18;Lake Oswego
12026;Lucas;;Flores;Lucas Flores;Male;9431 Firestone;;468-555-0132;2020-11-22;West Covina
12027;Haley;E;Wood;Haley E Wood;Female;9695 Notre Dame Avenue;;920-555-0199;2020-11-10;Renton
12028;Sarah;E;Lewis;Sarah E Lewis;Female;7212 Santa Maria Ct.;;417-555-0178;2022-09-26;Lemon Grove
12029;Damien;;Hu;Damien Hu;Male;2119 Virginia Hills;;805-555-0160;2022-08-02;Bellflower
12030;Ana;;Washington;Ana Washington;Female;5157 Maywood Lane;;129-555-0170;2020-11-06;Issaquah
12031;Logan;H;Jai;Logan H Jai;Male;6857 La Salle Ct;;720-555-0114;2022-11-06;Cliffside
12032;Tyler;A;Taylor;Tyler A Taylor;Male;5465 Janin Pl.;;541-555-0177;2022-02-20;Royal Oak
12033;Kristen;A;Guo;Kristen A Guo;Female;8452 Dewing Avenue;;865-555-0193;2020-11-23;Bremerton
12034;Julian;;Long;Julian Long;Male;9707 Daffodil Drive;;1 (11) 500 555-0143;2022-09-23;Cranbourne
12035;Gerald;B;Prasad;Gerald B Prasad;Male;4945 Noah Court;;1 (11) 500 555-0177;2022-02-07;Hobart
12036;Summer;;Lopez;Summer Lopez;Female;2901 Sunny Ave;;1 (11) 500 555-0161;2022-03-18;Rockhampton
12037;Patricia;;Chapman;Patricia Chapman;Female;5186 Elmhurst Lane;;1 (11) 500 555-0114;2020-12-27;Caloundra
12038;George;R;Vance;George R Vance;Male;1314 Skyline Dr.;;1 (11) 500 555-0197;2022-05-04;Darlinghurst
12039;Ricardo;C;Nath;Ricardo C Nath;Male;4472 Galveston Ct.;;1 (11) 500 555-0157;2020-12-27;Bendigo
12040;Richard;;Torres;Richard Torres;Male;125 Keller Ridge;;647-555-0134;2022-02-13;San Diego
12041;Seth;;Martin;Seth Martin;Male;1019 Pennsylvania Blvd;;499-555-0118;2020-11-09;Marysville
12042;Alex;M;Carter;Alex M Carter;Male;7468 Lindley Ct.;;716-555-0163;2020-11-05;Yakima
12043;Carson;L;Patterson;Carson L Patterson;Male;4195 Sea Point Way;;840-555-0139;2022-09-21;Fremont
12044;Madeline;G;Lopez;Madeline G Lopez;Female;9687 Maywood Ln.;;501-555-0149;2022-11-18;Long Beach
12045;Luis;A;Russell;Luis A Russell;Male;9236 Woodland Drive;;855-555-0185;2022-05-20;Mill Valley
12046;Alexa;;Cook;Alexa Cook;Female;3005 Banyan Way;;666-555-0153;2022-02-17;San Carlos
12047;Alexandra;;Davis;Alexandra Davis;Female;8831 San Gabriel Dr.;;719-555-0185;2022-05-02;West Covina
12048;Kayla;L;Coleman;Kayla L Coleman;Female;6869 Meier Road;;225-555-0182;2022-09-11;Lake Oswego
12049;Angela;;Russell;Angela Russell;Female;878 Rancho View Drive;;112-555-0124;2022-08-19;Los Angeles
12050;Aaron;M;Young;Aaron M Young;Male;6350 Plumas Court;;911-555-0153;2020-11-12;Lincoln Acres
12051;Isaiah;E;Scott;Isaiah E Scott;Male;1987 Megan Dr.;;926-555-0181;2022-02-23;National City
12052;Makayla;R;Ward;Makayla R Ward;Female;9023 Brush Creek Court;;328-555-0112;2020-11-03;Redwood City
12053;Cedric;A;Gao;Cedric A Gao;Male;4283 Meaham Drive;;778-555-0133;2020-10-29;Burbank
12054;Luke;;Diaz;Luke Diaz;Male;6377 East Avenue;;670-555-0117;2022-01-29;Newton
12055;Arianna;C;Richardson;Arianna C Richardson;Female;1105 N. 48th St;;675-555-0150;2022-02-21;Newton
12056;Ian;;Ward;Ian Ward;Male;3710 Via Appia;;684-555-0115;2022-06-14;N. Vancouver
12057;Madeline;M;Collins;Madeline M Collins;Female;1124 Leeds Ct. West;;622-555-0191;2022-02-26;Marysville
12058;Chloe;E;Nelson;Chloe E Nelson;Female;4627 Lakefield Place;;202-555-0125;2020-11-14;Fremont
12059;Jason;L;Jenkins;Jason L Jenkins;Male;8480 Zebra Street;;535-555-0185;2020-11-22;Renton
12060;Andrew;T;Wedge;Andrew T Wedge;Male;9263 Mt. Mckinley Ct.;;842-555-0146;2022-01-31;Sooke
12061;Bryce;;Brooks;Bryce Brooks;Male;5508 Glenmount Dr.;;110-555-0161;2022-01-29;Royal Oak
12062;Edward;H;Long;Edward H Long;Male;9837 Larkwood Ct;;379-555-0182;2022-02-24;San Carlos
12063;Xavier;;Martinez;Xavier Martinez;Male;3644 Rosarita;;957-555-0160;2022-09-10;Bellingham
12064;John;D;White;John D White;Male;244 La Cadena;;161-555-0125;2022-03-18;Corvallis
12065;Isaiah;A;Collins;Isaiah A Collins;Male;745 Harvey Way;;869-555-0152;2022-03-06;Issaquah
12066;Wyatt;L;Powell;Wyatt L Powell;Male;8728 Argyll Ave.;;788-555-0163;2022-03-01;Los Angeles
12067;Aaron;;Bryant;Aaron Bryant;Male;2325 Candywood Ct;;754-555-0137;2022-04-24;Redwood City
12068;Maria;L;Jenkins;Maria L Jenkins;Female;1113 Catherine Way;;189-555-0198;2022-07-05;Newport Beach
12069;Garrett;S;Kelly;Garrett S Kelly;Male;7129 N Larwin Ave.;;694-555-0142;2020-10-30;Chula Vista
12070;Luke;J;Ross;Luke J Ross;Male;2749 Greenbush Drive;;258-555-0153;2022-11-27;Beverly Hills
12071;Robert;;Robinson;Robert Robinson;Male;9896 Walkim Court;;190-555-0141;2020-11-23;Beverly Hills
12072;Tristan;;Ross;Tristan Ross;Male;5862 Crivello Ave.;;805-555-0133;2020-11-12;Lakewood
12073;Thomas;G;Rodriguez;Thomas G Rodriguez;Male;8094 Roxbury Drive;;972-555-0135;2022-03-06;Lakewood
12074;Megan;R;Jenkins;Megan R Jenkins;Female;2603 Condor Place;;661-555-0160;2022-08-11;Oak Bay
12075;Cameron;;Griffin;Cameron Griffin;Male;7330 Saddlehill Lane;;319-555-0148;2020-11-22;Issaquah
12076;Chloe;W;Washington;Chloe W Washington;Female;9115 Arthur Rd.;;276-555-0136;2020-11-04;Fremont
12077;Nicole;M;Sandberg;Nicole M Sandberg;Female;1742 Breck Court;;371-555-0196;2022-01-29;Shawnee
12078;Jose;W;Edwards;Jose W Edwards;Male;9601 Santa Fe Dr.;;171-555-0119;2020-11-27;Yakima
12079;Nathaniel;;Cooper;Nathaniel Cooper;Male;9566 Pine Hollow Road;;299-555-0194;2020-11-05;National City
12080;Grace;;Sanchez;Grace Sanchez;Female;8844 Fitzpatrick Drive;;207-555-0158;2022-03-31;Cliffside
12081;Kaitlyn;A;Perez;Kaitlyn A Perez;Female;8089 Mariposa Ct.;;154-555-0159;2022-05-08;Oak Bay
12082;Lauren;;Sanchez;Lauren Sanchez;Female;5379 Treasure Island Way;Bldg 14;694-555-0111;2020-11-17;Downey
12083;Kayla;;Alexander;Kayla Alexander;Female;2908 Piper Ridge Court;;179-555-0179;2020-11-24;Edmonds
12084;Aidan;O;Perry;Aidan O Perry;Male;4772 Ravenwood;;932-555-0175;2020-11-08;Milwaukie
12085;Tyler;;Rodriguez;Tyler Rodriguez;Male;8980 Logan Court;;935-555-0186;2022-06-21;Portland
12086;Emily;R;Clark;Emily R Clark;Female;5368 Pierce Ct.;;165-555-0198;2022-05-14;Royal Oak
12087;Sean;;Cook;Sean Cook;Male;2715 Euclid Ave.;;390-555-0114;2022-10-10;Lakewood
12088;Lauren;E;Thompson;Lauren E Thompson;Female;9657 Wiget Lane;;123-555-0163;2022-12-26;Salem
12089;Nathaniel;;Richardson;Nathaniel Richardson;Male;1881 Pinehurst Court;;170-555-0160;2022-02-02;N. Vancouver
12090;Savannah;M;Carter;Savannah M Carter;Female;2582 South Ranchford Ct.;;838-555-0118;2022-05-08;Royal Oak
12091;Eddie;;Munoz;Eddie Munoz;Male;3005 Potomac Drive;;806-555-0179;2022-02-05;Beaverton
12092;Austin;L;White;Austin L White;Male;6872 Sandalwood Dr.;;389-555-0198;2022-05-02;Burien
12093;Levi;;Chandra;Levi Chandra;Male;5974 Sequoia Drive;;990-555-0126;2022-11-05;Beverly Hills
12094;Bailey;A;Bailey;Bailey A Bailey;Female;1723 StandingView Dr. Dr;;873-555-0132;2020-11-05;Lemon Grove
12095;Austin;K;Griffin;Austin K Griffin;Male;7719 Athene Dr;;372-555-0193;2022-05-02;Lincoln Acres
12096;Caitlin;;Brooks;Caitlin Brooks;Female;458 Las Ramblas;;425-555-0131;2020-11-17;San Carlos
12097;Sean;L;Allen;Sean L Allen;Male;4895 Cypress Ave.;;109-555-0183;2022-05-21;Shawnee
12098;Grace;L;Clark;Grace L Clark;Female;5235 Darnett Circle;;135-555-0124;2022-01-29;Spokane
12099;Sydney;;Hall;Sydney Hall;Female;4985 Claudia Dr.;;514-555-0134;2022-04-11;Yakima
12100;Jon;;Sun;Jon Sun;Male;9211 Holiday Hills Drive;;183-555-0190;2022-08-13;Burbank
12101;Logan;;Patterson;Logan Patterson;Male;9211 Holiday Hills Drive;;703-555-0171;2022-03-14;Newport Beach
12102;Devin;K;Simmons;Devin K Simmons;Male;3716 D Mt. Hood Circle;;250-555-0138;2020-11-07;Novato
12103;Chloe;C;White;Chloe C White;Female;9312 Virginia Hills Drive;;432-555-0119;2020-11-28;Oakland
12104;Mariah;J;Ross;Mariah J Ross;Female;1698 10th Avenue;;129-555-0115;2020-10-29;Palo Alto
12105;Abigail;R;Foster;Abigail R Foster;Female;9849 Santa Fe Court;;156-555-0118;2020-11-01;Woodland Hills
12106;Isaiah;;Baker;Isaiah Baker;Male;8868 Sudan Loop;;504-555-0174;2022-06-13;Oak Bay
12107;Nathan;M;Gonzales;Nathan M Gonzales;Male;5616 Bayside Way;;459-555-0188;2022-02-28;Victoria
12108;James;C;Walker;James C Walker;Male;9142 Altura Drive;;314-555-0135;2020-11-18;Marysville
12109;Morgan;W;Foster;Morgan W Foster;Female;5537 Broadway;;118-555-0119;2020-11-10;Spokane
12110;Bianca;Y;Guo;Bianca Y Guo;Female;2745 Mt. Dias Blvd.;;613-555-0188;2020-11-14;Burlingame
12111;Jacqueline;;Gonzales;Jacqueline Gonzales;Female;1899 Trail Way;;128-555-0122;2022-07-10;Fremont
12112;Arianna;;Henderson;Arianna Henderson;Female;5283 Dumbarton Drive;;218-555-0142;2020-11-27;Long Beach
12113;Nathan;B;Hughes;Nathan B Hughes;Male;1771 Coastal Blvd.;;334-555-0173;2022-02-19;Langford
12114;Charles;I;Richardson;Charles I Richardson;Male;5466 Kaitlin Pl.;;385-555-0136;2022-03-02;Metchosin
12115;Chloe;R;Richardson;Chloe R Richardson;Female;7563 Florencia;;890-555-0130;2022-06-05;Lebanon
12116;Amanda;E;Gray;Amanda E Gray;Female;4701 Mt. Dell Drive;;361-555-0183;2020-11-20;Portland
12117;Cameron;;Yang;Cameron Yang;Male;2672 Pansy Dr.;;743-555-0192;2022-08-03;Seattle
12118;Miguel;L;Sanchez;Miguel L Sanchez;Female;5648 California St.;;384-555-0123;2020-11-04;Bellflower
12119;Keith;L;Raje;Keith L Raje;Male;9216 Sandy Way;;143-555-0184;2022-05-05;Berkeley
12120;Xavier;D;Simmons;Xavier D Simmons;Male;2837 Redhead Way;;710-555-0143;2020-11-03;Issaquah
12121;Logan;H;Wilson;Logan H Wilson;Male;6928 Toyon Dr.;;999-555-0111;2020-11-21;Milwaukie
12122;Destiny;W;Coleman;Destiny W Coleman;Female;8713 Live Oak Avenue;;446-555-0114;2022-03-05;Vancouver
12123;Wesley;A;Liang;Wesley A Liang;Male;6048 Nightingale Drive;;1 (11) 500 555-0143;2021-02-10;Wokingham
12124;Brandi;D;Gill;Brandi D Gill;Female;8, rue de l´Avenir;;1 (11) 500 555-0115;2020-01-29;Paris
12125;Diana;;Ortega;Diana Ortega;Female;Postfach 22 99 99;;1 (11) 500 555-0184;2021-05-15;Mühlheim
12126;Tammy;;Raman;Tammy Raman;Female;5760 Las Palmas;;1 (11) 500 555-0196;2022-04-08;London
12127;Grace;;Davis;Grace Davis;Female;8188, rue Lamarck;;1 (11) 500 555-0178;2022-11-10;Dunkerque
12128;Kristy;E;Munoz;Kristy E Munoz;Female;Altendorfer Straße 903;;1 (11) 500 555-0146;2021-05-01;Berlin
12129;Wendy;V;Alvarez;Wendy V Alvarez;Female;Wertheimer Straße 899;;1 (11) 500 555-0118;2021-05-25;Leipzig
12130;Suzanne;;Zhou;Suzanne Zhou;Female;Nonnendamm 6599;;1 (11) 500 555-0119;2021-05-08;Paderborn
12131;Randall;M;Dominguez;Randall M Dominguez;Male;244, rue des Rosiers;;1 (11) 500 555-0136;2020-02-21;Dunkerque
12132;Kaitlyn;J;Henderson;Kaitlyn J Henderson;Female;2222, rue Ste-Honoré;;1 (11) 500 555-0154;2020-01-30;Tremblay-en-France
12133;Colleen;C;Xie;Colleen C Xie;Female;8976 E Leland;;1 (11) 500 555-0175;2021-02-11;Lancaster
12134;Hector;L;Alonso;Hector L Alonso;Male;5276 Whitehall Drive;;1 (11) 500 555-0153;2022-07-05;Stoke-on-Trent
12135;Fernando;W;Taylor;Fernando W Taylor;Male;7386 Rolph Park Drive;;672-555-0169;2022-05-09;El Cajon
12136;Blake;;Turner;Blake Turner;Male;7509 San Cristobal;;406-555-0125;2022-04-24;Cliffside
12137;Jack;;Green;Jack Green;Male;1224 Shoenic;;433-555-0195;2022-03-19;Novato
12138;Colin;;Jai;Colin Jai;Male;3874 Claudia Court;;779-555-0111;2022-08-28;Beaverton
12139;Franklin;;Yang;Franklin Yang;Male;4824 Discovery Bay;;390-555-0195;2022-07-02;Bellingham
12140;Oscar;A;Russell;Oscar A Russell;Male;2174 Pacheco St.;;616-555-0156;2022-06-02;Westminster
12141;Kaitlyn;B;Lee;Kaitlyn B Lee;Female;4179 Maureen Lane;;936-555-0110;2020-11-05;Beaverton
12142;Gabriella;;Torres;Gabriella Torres;Female;4790 Curletto Drive;;989-555-0133;2020-11-27;Milwaukie
12143;Logan;K;Turner;Logan K Turner;Male;2803 Fawn Glen Circle;;178-555-0116;2020-11-16;Port Orchard
12144;Kelly;;Jenkins;Kelly Jenkins;Female;4511 Gathering Court;;131-555-0124;2022-03-22;Port Orchard
12145;Brandon;;Butler;Brandon Butler;Male;5979 Meadowbrook Drive;;120-555-0143;2022-11-28;Walla Walla
12146;Xavier;;Thomas;Xavier Thomas;Male;5139 The Trees Dr;;349-555-0116;2022-06-29;Concord
12147;Taylor;;Patterson;Taylor Patterson;Female;5029 Blue Ridge;;415-555-0170;2022-06-23;Haney
12148;Gabrielle;A;Morris;Gabrielle A Morris;Female;8553 R St.;;458-555-0132;2022-11-23;Salem
12149;Bailey;A;Scott;Bailey A Scott;Female;560 Highland Drive;;549-555-0199;2022-05-01;W. Linn
12150;Logan;M;Wang;Logan M Wang;Male;3328 North Wateroak Ct;#8;606-555-0158;2022-08-14;El Cajon
12151;Steven;M;Kelly;Steven M Kelly;Male;8625 Olive Ave.;;582-555-0134;2020-11-14;Lemon Grove
12152;Adrian;K;Ramirez;Adrian K Ramirez;Male;1461 Dantley Way;;728-555-0143;2020-10-30;Lemon Grove
12153;Kaitlyn;M;Bailey;Kaitlyn M Bailey;Female;4836 Stratton Circle;;848-555-0159;2020-11-27;Oakland
12154;Hailey;M;Adams;Hailey M Adams;Female;4594 Rose Dr.;;906-555-0157;2022-03-14;Westminster
12155;Gabriella;;Lopez;Gabriella Lopez;Female;6096 Fraga Court;;108-555-0196;2020-11-21;Yakima
12156;Bonnie;;Raji;Bonnie Raji;Female;359 Pleasant Hill Rd;;409-555-0193;2020-11-06;Burbank
12157;William;;White;William White;Male;5984 Mt. Whitney Dr.;;544-555-0147;2022-05-10;Lincoln Acres
12158;Kyle;;Phillips;Kyle Phillips;Male;6133 Elderwood Dr.;;406-555-0176;2022-09-01;Sooke
12159;Kaitlyn;A;Scott;Kaitlyn A Scott;Female;8378 B Avenue I;;801-555-0114;2022-02-24;Westminster
12160;Jaclyn;;Zhang;Jaclyn Zhang;Female;4364 Viera Avenue;;819-555-0110;2020-11-18;Beaverton
12161;Alexandria;;Rogers;Alexandria Rogers;Female;7279 Michael Ln.;;448-555-0119;2022-03-09;Yakima
12162;Luke;A;Mitchell;Luke A Mitchell;Male;7150 N. Broadway;;150-555-0113;2020-11-11;La Jolla
12163;Aaron;V;Wang;Aaron V Wang;Male;228 Rock Creek Way;;648-555-0158;2020-11-05;Santa Cruz
12164;Noah;E;Butler;Noah E Butler;Male;476 Bay Drive;;426-555-0158;2020-11-25;Spring Valley
12165;Caleb;S;Flores;Caleb S Flores;Male;1256 American Beauty Dr;;615-555-0157;2022-01-30;Langford
12166;Jared;J;Rogers;Jared J Rogers;Male;1261 Sierrawood Court;;903-555-0191;2022-07-11;N. Vancouver
12167;Sebastian;E;Stewart;Sebastian E Stewart;Male;3307 Mt. Trinity Ct.;;367-555-0118;2020-10-29;Seattle
12168;Hunter;;Jackson;Hunter Jackson;Male;824 Gregory Drive;;312-555-0147;2022-02-26;Edmonds
12169;Abigail;;Howard;Abigail Howard;Female;6490 El Camino;;197-555-0113;2020-10-29;Coronado
12170;Sara;T;Reed;Sara T Reed;Female;7884 Power Ave.;;653-555-0182;2020-11-23;Glendale
12171;Alyssa;E;Cooper;Alyssa E Cooper;Female;9584 Logan Ct;;491-555-0143;2020-11-01;Lemon Grove
12172;Eduardo;E;Alexander;Eduardo E Alexander;Male;2878 Bounty Way;;313-555-0148;2020-11-20;Newport Beach
12173;Dalton;L;Edwards;Dalton L Edwards;Male;4588 Morgan Territory Road;;745-555-0145;2020-11-12;Newport Beach
12174;Charles;;Phillips;Charles Phillips;Male;2499 Wilke Drive;;184-555-0111;2020-12-06;Torrance
12175;Luke;A;Powell;Luke A Powell;Male;4591 Camino Peral;;678-555-0111;2022-11-17;Santa Cruz
12176;Cody;A;James;Cody A James;Male;677 Riveria Way;;676-555-0184;2022-02-02;Salem
12177;Kevin;S;Campbell;Kevin S Campbell;Male;1468 Napa St.;;929-555-0135;2022-03-07;Oak Bay
12178;Ethan;;Shan;Ethan Shan;Male;9551 Jones Rd;;168-555-0113;2020-12-25;Portland
12179;Alexis;M;Jones;Alexis M Jones;Female;5925 Rain Drop Circle;;982-555-0141;2020-12-16;Lebanon
12180;Holly;L;Mehta;Holly L Mehta;Female;1565 W. Lake Dr.;;123-555-0127;2020-12-10;Beaverton
12181;Katelyn;A;Sanders;Katelyn A Sanders;Female;2334 Brandywine Way;;417-555-0163;2020-12-03;Palo Alto
12182;Erin;;Torres;Erin Torres;Female;8700 Gloria Terrace;;402-555-0198;2022-03-14;Cliffside
12183;Emily;;Robinson;Emily Robinson;Female;2627 Sandview Dr.;;796-555-0138;2022-02-19;Sooke
12184;Isaiah;R;Perez;Isaiah R Perez;Male;7243 St. George Dr.;;164-555-0121;2020-12-22;Oregon City
12185;Kaitlyn;R;Patterson;Kaitlyn R Patterson;Female;3732 Camino Norte;;299-555-0110;2022-03-29;Yakima
12186;Bryant;P;Srini;Bryant P Srini;Male;9854 Martindale Drive;;949-555-0125;2020-12-25;Berkeley
12187;Ruben;;Subram;Ruben Subram;Male;9058 East 23rd Street;;504-555-0163;2020-12-25;Beverly Hills
12188;Ashley;J;Thomas;Ashley J Thomas;Female;5071 Almaden Dr.;;190-555-0190;2020-12-25;Chula Vista
12189;Sophia;;Wright;Sophia Wright;Female;832 Bellows Ct.;;612-555-0166;2020-12-14;Los Angeles
12190;Justin;;Gonzales;Justin Gonzales;Male;9163 Hilltop Road;;801-555-0176;2020-12-09;San Gabriel
12191;Melissa;;Washington;Melissa Washington;Female;4091 Silver Oaks Place;# 105;275-555-0122;2022-04-16;West Covina
12192;Jocelyn;G;Hayes;Jocelyn G Hayes;Female;9611 Hudson Ave;;936-555-0125;2022-04-12;Bellingham
12193;Caleb;M;Simmons;Caleb M Simmons;Male;7450 Olivera Rd;;164-555-0159;2022-03-29;Newton
12194;Destiny;E;Foster;Destiny E Foster;Female;4655 Shuey Ave;;698-555-0118;2022-04-18;San Gabriel
12195;Erin;;Morris;Erin Morris;Female;5265 11th Ave.;;148-555-0168;2022-05-23;National City
12196;Alexis;A;Miller;Alexis A Miller;Female;6600 Court Street;;615-555-0111;2022-04-10;Vancouver
12197;Adam;W;Hernandez;Adam W Hernandez;Male;11 Sunrise Drive;;678-555-0162;2022-02-01;Mill Valley
12198;Noah;;Scott;Noah Scott;Male;1305 Willbrook Court;;208-555-0130;2020-12-15;Milwaukie
12199;Christina;;Richardson;Christina Richardson;Female;5279 East L Street;;474-555-0152;2022-06-16;Walla Walla
12200;Rafael;B;Sharma;Rafael B Sharma;Male;1693 C Northwood Dr;;717-555-0111;2020-12-20;Colma
12201;Mindy;D;Yuan;Mindy D Yuan;Female;66, avenue du Québec;;335-555-0116;2022-06-11;Burlingame
12202;Xavier;A;Ross;Xavier A Ross;Male;8818 Gentrytown Dr.;;982-555-0113;2022-02-05;Sooke
12203;Zachary;;Hughes;Zachary Hughes;Male;7600 Showtime Court;;136-555-0183;2022-07-03;Port Hammond
12204;Bradley;;Jai;Bradley Jai;Male;9847 Galloway Dr.;;598-555-0176;2022-01-28;Beaverton
12205;Madison;J;Long;Madison J Long;Female;4643 Elkwood Dr.;;705-555-0113;2022-10-26;Burbank
12206;Sierra;J;Parker;Sierra J Parker;Female;9593 Power Ave.;;220-555-0129;2020-12-28;Long Beach
12207;Samuel;J;Hill;Samuel J Hill;Male;1637 Kingston Pl.;;125-555-0172;2020-12-25;Issaquah
12208;Dominique;A;Sanchez;Dominique A Sanchez;Female;3043 Gregory Dr.;;230-555-0175;2020-12-16;Bellingham
12209;Mindy;;Jai;Mindy Jai;Female;7559 Worth Ct.;;520-555-0110;2020-12-17;Bellflower
12210;Alan;A;He;Alan A He;Male;1374 Wightman Lane;;1 (11) 500 555-0116;2021-03-15;London
12211;Victor;C;Romero;Victor C Romero;Male;3355, rue de Longchamp;;1 (11) 500 555-0198;2020-03-07;Roissy en Brie
12212;Shawna;J;Xie;Shawna J Xie;Female;71, avenue Reille;;1 (11) 500 555-0134;2020-03-27;Versailles
12213;Alejandro;;Lal;Alejandro Lal;Male;Reiherweg 5;;1 (11) 500 555-0117;2021-05-09;München
12214;Julie;H;Raje;Julie H Raje;Female;3886 Delta View Ln.;;1 (11) 500 555-0159;2021-03-07;Leeds
12215;Karla;T;She;Karla T She;Female;2846 Veronica Ct.;;1 (11) 500 555-0122;2021-03-10;London
12216;Gerald;;Rodriguez;Gerald Rodriguez;Male;2608 Elm Rd.;;1 (11) 500 555-0120;2021-03-25;Maidenhead
12217;Kyle;;Roberts;Kyle Roberts;Male;611bis, rue des Peupliers;;1 (11) 500 555-0169;2020-03-23;Versailles
12218;Mitchell;J;Xu;Mitchell J Xu;Male;Celler Weg 4030;;1 (11) 500 555-0136;2021-05-25;Berlin
12219;Kurt;;Nara;Kurt Nara;Male;1584 S. Forest Hill;;1 (11) 500 555-0187;2020-03-24;Roncq
12220;Virginia;C;Sara;Virginia C Sara;Female;470, rue de Linois;;1 (11) 500 555-0186;2020-03-09;Paris La Defense
12221;Brandi;;Ruiz;Brandi Ruiz;Female;11, rue Saint Denis;;1 (11) 500 555-0113;2020-03-02;Saint Germain en Laye
12222;Jenny;K;Xu;Jenny K Xu;Female;3156 Crystal Avenue;;1 (11) 500 555-0158;2021-03-13;London
12223;Felicia;;Vazquez;Felicia Vazquez;Female;Postfach 8 22 99;;1 (11) 500 555-0174;2022-08-08;Frankfurt am Main
12224;Tristan;;Henderson;Tristan Henderson;Male;3431 Wilton Pl.;;1 (11) 500 555-0157;2022-11-15;Leeds
12225;Kathleen;G;Ortega;Kathleen G Ortega;Female;Celler Weg 504;;1 (11) 500 555-0178;2021-05-19;Poing
12226;Faith;A;Ward;Faith A Ward;Female;Am Gallberg 24;;1 (11) 500 555-0185;2021-05-19;Hof
12227;Kelsey;W;Raje;Kelsey W Raje;Female;8031 Pinon Dr.;;1 (11) 500 555-0135;2022-04-29;Kirkby
12228;Mayra;D;Martinez;Mayra D Martinez;Female;Husemann Straße 9574;;1 (11) 500 555-0147;2021-06-22;Berlin
12229;Kari;;Gomez;Kari Gomez;Female;Pappelallee 123;;1 (11) 500 555-0146;2021-06-07;Mühlheim
12230;Wesley;;Zheng;Wesley Zheng;Male;Krönerweg 49;;1 (11) 500 555-0126;2021-06-20;Hamburg
12231;Isabelle;C;Patterson;Isabelle C Patterson;Female;Wasserstr 6999;;1 (11) 500 555-0155;2021-06-15;Solingen
12232;Sean;E;Hernandez;Sean E Hernandez;Male;Holzstr 7555;;1 (11) 500 555-0119;2021-06-03;Paderborn
12233;Jerry;D;Yuan;Jerry D Yuan;Male;136 Balboa Court;;1 (11) 500 555-0163;2023-01-17;London
12234;Clarence;L;Zeng;Clarence L Zeng;Male;790, quai de Grenelle;;1 (11) 500 555-0126;2022-04-26;Les Ulis
12235;Donna;;Rai;Donna Rai;Female;2957 Tri-state Avenue;;1 (11) 500 555-0127;2022-03-23;Cambridge
12236;Kendra;H;Gill;Kendra H Gill;Female;Potsdamer Straße 929;;1 (11) 500 555-0193;2022-07-13;Hamburg
12237;Ruth;;Madan;Ruth Madan;Female;Carlsplatz 1;;1 (11) 500 555-0121;2021-06-17;Kassel
12238;Monica;;Raman;Monica Raman;Female;Hochstr 2777;;1 (11) 500 555-0113;2022-07-09;Offenbach
12239;Alberto;;Ramos;Alberto Ramos;Male;4776 Kentucky Drive;;1 (11) 500 555-0156;2021-03-23;London
12240;Clayton;D;Sharma;Clayton D Sharma;Male;9429 Geraldine Dr;;1 (11) 500 555-0188;2020-12-28;Matraville
12241;Kristine;;Sandberg;Kristine Sandberg;Female;6141 Race Road;;1 (11) 500 555-0182;2020-12-16;Wollongong
12242;Gilbert;;Liang;Gilbert Liang;Male;4882 Darlene Drive;;1 (11) 500 555-0195;2020-12-16;Findon
12243;Kristy;;Rubio;Kristy Rubio;Female;1527 St. John Lane;;1 (11) 500 555-0180;2020-12-24;Geelong
12244;Amy;C;Huang;Amy C Huang;Female;7806 Reliez Valley Ct.;;1 (11) 500 555-0197;2022-02-16;Rhodes
12245;Francisco;L;Gonzalez;Francisco L Gonzalez;Male;626 Redlands Way;;1 (11) 500 555-0118;2020-12-12;Rhodes
